geoid,edu,hu_med_val,hh_med_income
53033002400,0.6877087508350034,0.30251992800205707,0.5324817069421386
53033003800,0.6041570438799077,0.34912573926459245,0.4935026337904036
53033007402,0.7309021113243762,0.18083054769863718,0.21440283670499496
53033009000,0.5077630822311673,0.19420159424016456,0.22838652155198919
53033009800,0.6359026369168357,0.2955129853432759,0.36742400951034043
53033011402,0.46242905788876276,0.16180251992800207,0.24442497284223902
53033009600,0.7083489329839011,0.3992671637953201,0.3986964274734059
53033010200,0.6154519588531407,0.2860632553355618,0.4320851011498493
53033010300,0.5118505729084916,0.22942915916688095,0.29591711246387503
53033010401,0.3903629802589684,0.22332219079454874,0.3109409907971059
53033011001,0.30008110300081103,0.18680894831576242,0.15006456373362848
53033011102,0.3853877376628925,0.28117768063769605,0.3171872758203693
53033011500,0.5844308560677328,0.22531499100025715,0.384938203283527
53033011800,0.3364544319600499,0.2217150938544613,0.19905101559777819
53033012100,0.6600070101647388,0.2759706865518128,0.5639590891389452
53033000100,0.5257299797629372,0.26401388531756237,0.2303336817725307
53033000200,0.5737396538750941,0.22010799691437388,0.2880157412531513
53033000300,0.5009480470231323,0.21618668038056055,0.329464633421468
53033000401,0.553072625698324,0.18732321933659038,0.16638996495111602
53033000402,0.6600081532816959,0.260606839804577,0.32141466314128186
53033000500,0.7132063074901446,0.3653895602982772,0.6425628727787002
53033000600,0.547302580140735,0.2346361532527642,0.3081176084773207
53033000700,0.5410874897792314,0.20808691180251992,0.26512636045010146
53033000800,0.6622436670687576,0.26992800205708406,0.4469347598844002
53033000900,0.7006595636732623,0.40395988686037543,0.6410717579782328
53033001000,0.555396370582617,0.2670995114425302,0.35685810326098094
53033001100,0.6200824278756089,0.25424273592183083,0.3307559080940376
53033001200,0.5640634533251982,0.20050141424530726,0.16326938449240608
53033001300,0.6290726817042607,0.19690151709951145,0.29076226198528354
53033001600,0.6869374847968864,0.4224736436101826,0.4929031134067105
53033001701,0.6310727496917385,0.20152995628696324,0.33403021172805347
53033001702,0.6603901996370236,0.2434430444844433,0.32172210949189367
53033001800,0.5919110599961663,0.23797891488814604,0.44661194121625775
53033001900,0.6282024137200931,0.24087168938030343,0.3145739818401689
53033002000,0.6713888888888889,0.2842633067626639,0.41197810981983646
53033002100,0.6673095467695275,0.28831319105168424,0.43943819303531534
53033002600,0.6562437362196833,0.35124710722550784,0.46864047223759453
53033002900,0.6637229839646758,0.31646952944201595,0.531625981266269
53033003000,0.6135688057352684,0.3194265878117768,0.4652124454282728
53033003100,0.6583641330547967,0.3195551555669838,0.5195689602164423
53033003200,0.7041175756103486,0.36513242478786323,0.40829387771833814
53033003300,0.7524345709068777,0.29069169452301363,0.43859783967697635
53033003400,0.7175913019236131,0.3428259192594497,0.49960031974420466
53033003500,0.6863636363636364,0.3670609411159681,0.41793744491586216
53033004301,0.576381059751973,0.3724607868346619,0.3320266863432331
53033004302,0.2762624898730759,0.2822705065569555,0.09688659328947098
53033004400,0.4831239594369608,0.38107482643353047,0.25876734509828037
53033004500,0.6166448230668414,0.3240550269992286,0.45560474697165343
